Country,GDP,Life Expectancy,Tertiary Enrollment,CO2 Emissions,Population,Infant Mortality,Physicians Per Thousand
Sudan,18902284476.0,65.1,16.9,20000.0,42813238.0,42.1,0.26
Suriname,3985250737.0,71.6,12.6,1738.0,581372.0,16.9,1.21
Sweden,530832908738.0,82.5,67.0,43252.0,10285453.0,2.2,3.98
Switzerland,703082435360.0,83.6,59.6,34477.0,8574832.0,3.7,4.3
Syria,40405006007.0,71.8,40.1,28830.0,17070135.0,14.0,1.22
Tajikistan,8116626794.0,70.9,31.3,5310.0,9321018.0,30.4,1.7
Tanzania,63177068175.0,65.0,4.0,11973.0,58005463.0,37.6,0.01
Thailand,543649976166.0,76.9,49.3,283763.0,69625582.0,7.8,0.81
East Timor,1673540300.0,69.3,17.8,495.0,3500000.0,39.3,0.72
Togo,5459979417.0,60.8,14.5,3000.0,8082366.0,47.4,0.08
Tonga,450353314.0,70.8,6.4,128.0,100209.0,13.4,0.52
Trinidad and Tobago,24100202834.0,73.4,12.0,43868.0,1394973.0,16.4,4.17
Tunisia,38797709924.0,76.5,31.7,29937.0,11694719.0,14.6,1.3
Turkey,754411708203.0,77.4,23.9,372725.0,83429615.0,9.1,1.85
Turkmenistan,40761142857.0,68.1,8.0,70630.0,5942089.0,39.3,2.22
Uganda,34387229486.0,63.0,4.8,5680.0,44269594.0,33.8,0.17
Ukraine,153781069118.0,71.6,82.7,202250.0,44385155.0,7.5,2.99
United Arab Emirates,421142267938.0,77.8,36.8,206324.0,9770529.0,6.5,2.53
United Kingdom,2827113184696.0,81.3,60.0,379025.0,66834405.0,3.6,2.81
United States,21427700000000.0,78.5,88.2,5006302.0,328239523.0,5.6,2.61
Uruguay,56045912952.0,77.8,63.1,6766.0,3461734.0,6.4,5.05
Uzbekistan,57921286440.0,71.6,10.1,91811.0,33580650.0,19.1,2.37
Vanuatu,917058851.0,70.3,4.7,147.0,299882.0,22.3,0.17
Venezuela,482359318768.0,72.1,79.3,164175.0,28515829.0,21.4,1.92
Vietnam,261921244843.0,75.3,28.5,192668.0,96462106.0,16.5,0.82
Yemen,26914402224.0,66.1,10.2,10609.0,29161922.0,42.9,0.31
Zambia,23064722446.0,63.5,4.1,5141.0,17861030.0,40.4,1.19
Zimbabwe,21440758800.0,61.2,10.0,10983.0,14645468.0,33.9,0.21
